Age,Gender,Country,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Treatment
24,1,43,0,0,3,4,0,1,1,0,1,1,0,0,0,0,1,0,1,2,1,1,1
35,1,44,0,0,3,5,1,1,2,1,0,2,0,1,2,2,1,0,1,0,0,0,0
27,1,6,0,1,3,0,0,1,1,2,1,1,2,3,0,1,1,0,1,1,2,0,1
18,1,27,0,0,1,4,0,1,1,1,1,1,0,1,2,0,0,1,1,1,1,0,0
30,1,44,0,0,3,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
38,0,44,0,1,3,2,0,1,2,2,1,2,2,2,1,1,1,2,1,1,2,0,1
28,1,43,0,0,3,2,0,1,0,1,1,1,0,0,1,0,1,2,0,2,0,0,0
34,1,44,0,0,3,4,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0,0,0
26,1,6,1,0,3,0,0,1,1,2,2,1,0,0,1,1,2,2,1,1,2,0,0
30,1,44,0,1,2,2,0,1,2,0,1,0,0,0,0,1,1,2,1,1,0,0,1
22,1,44,0,1,1,4,0,1,1,2,1,1,2,3,0,1,0,0,1,0,0,0,1
33,1,44,0,0,3,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0
31,1,44,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
32,1,44,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,2,1,1,0,0,0
28,1,41,0,0,3,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0
27,2,44,0,1,2,2,0,1,2,2,1,1,2,0,0,1,0,0,1,1,0,0,1
32,1,44,0,1,3,4,1,1,0,0,1,1,0,2,1,1,2,2,1,1,2,0,0
24,1,44,0,1,3,2,1,1,0,0,1,1,0,0,1,0,1,2,2,2,1,0,1
26,1,44,0,0,3,2,0,0,1,0,1,1,2,2,1,1,1,2,0,2,0,0,0
33,1,6,0,1,1,4,1,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1
44,1,44,0,1,3,5,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,1,1
26,0,32,0,0,3,2,1,1,0,1,2,2,2,4,1,1,2,2,0,2,2,0,1
27,1,43,0,0,0,1,0,1,2,1,1,2,0,2,1,1,2,2,0,0,2,0,0
26,1,14,0,0,3,2,0,1,1,0,1,1,0,4,2,1,0,0,1,1,1,1,0
35,1,6,0,0,3,4,0,1,0,0,1,1,0,2,1,1,1,2,1,0,0,0,0
40,1,44,0,1,3,5,1,1,2,2,2,2,0,0,2,0,1,0,1,1,1,1,0
23,0,0,0,1,1,0,1,1,1,1,1,1,0,4,1,1,1,2,1,0,2,0,1
36,1,44,0,0,3,1,1,1,2,0,0,2,0,0,0,1,1,1,0,2,2,0,0
31,0,44,0,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
34,1,44,1,0,2,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
28,1,14,0,0,0,2,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0
34,1,6,0,0,0,4,0,1,0,1,0,0,0,2,1,1,1,2,1,1,0,0,0
23,2,44,0,0,2,5,0,1,2,2,1,1,2,1,0,1,2,2,1,1,1,0,0
38,1,43,0,0,3,2,0,1,1,0,1,0,2,2,1,1,1,2,0,2,2,0,0
33,1,44,0,0,0,5,0,1,0,1,2,0,0,0,0,1,1,1,1,0,2,0,0
19,1,43,0,0,3,0,0,1,1,2,1,1,1,1,2,1,0,0,1,0,1,0,0
25,1,44,0,0,3,5,1,1,2,2,2,2,0,0,1,1,2,2,0,2,2,0,0
31,1,44,1,1,3,0,1,1,1,0,1,1,2,1,1,1,2,2,0,0,2,0,0
32,1,44,0,1,3,2,1,1,1,0,1,1,0,1,2,1,1,0,1,2,1,0,1
28,1,16,0,0,0,4,1,1,0,0,0,0,0,4,1,1,1,1,0,2,2,0,0
38,1,44,0,1,3,1,1,1,2,2,1,2,0,0,1,1,2,1,0,0,2,0,0
23,1,43,0,0,0,2,0,1,2,1,2,0,0,4,1,1,1,2,0,0,2,0,0
30,1,6,0,0,0,2,0,0,1,0,1,1,0,0,1,1,1,2,1,1,1,0,0
27,2,44,1,0,1,0,1,1,2,2,2,2,2,4,0,0,1,2,1,0,2,0,1
33,1,44,0,1,0,5,0,1,1,0,1,1,0,0,2,1,0,0,1,0,1,0,0
31,1,44,0,0,3,2,0,1,0,1,1,1,0,0,1,1,1,2,0,0,1,0,0
39,1,43,1,0,1,4,0,1,1,0,1,1,0,3,0,1,1,0,1,0,1,1,1
34,0,44,0,1,2,3,1,1,2,1,1,0,0,0,2,0,1,1,1,1,0,0,1
29,0,44,0,0,3,2,0,1,2,2,1,1,0,0,0,1,1,1,1,0,1,1,1
32,1,44,0,0,3,3,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
31,1,44,0,0,0,3,0,1,2,2,2,2,2,2,1,1,1,2,1,1,2,0,0
40,1,44,0,0,3,2,0,1,1,2,1,1,2,3,1,1,2,2,2,2,1,0,1
34,1,44,0,0,3,2,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0
18,2,35,0,0,3,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,0,0,0
25,0,6,0,0,3,2,0,1,2,2,1,0,0,0,0,1,1,2,1,0,0,0,1
29,1,44,0,0,0,2,0,1,0,0,1,0,0,0,1,1,2,2,0,0,1,0,0
24,1,44,0,1,2,2,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0
31,1,25,0,1,3,4,0,1,0,0,1,1,0,0,1,1,1,2,0,2,1,0,1
33,2,44,0,0,3,4,0,1,1,2,1,1,0,2,0,1,1,0,1,0,1,0,1
30,1,44,0,0,1,0,0,1,1,2,1,1,2,2,1,1,2,2,0,0,2,0,1
26,0,6,0,1,3,2,0,0,1,2,1,1,1,3,2,1,0,0,1,0,1,1,1
44,0,44,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0
25,1,44,0,1,3,2,0,1,0,0,0,0,0,4,1,1,1,2,1,1,0,0,0
33,1,44,0,1,3,2,1,1,2,2,2,2,2,2,1,1,1,2,0,0,2,0,1
29,1,44,0,0,0,5,0,1,2,1,2,0,0,2,1,1,1,2,1,1,0,0,0
35,1,44,0,1,2,4,0,1,2,1,1,1,2,2,1,1,1,2,1,1,0,0,0
35,1,44,0,1,3,2,1,1,0,1,1,1,0,2,1,1,1,2,1,0,1,0,1
28,1,4,0,1,2,4,0,1,1,0,1,1,1,0,0,1,2,2,1,1,0,1,1
